QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20150317_000043	¿Forzar inicio?	강제 시작?				강제 시작?	
QUEST_20150317_000044	Elementos que se eliminarán	삭제할 아이템				None	
QUEST_20150317_000045	Seleccione tipo de generación	GenType 선택				Basic	
QUEST_20150317_000046	Seleccionar coordenadas	좌표 선택				Basic	
QUEST_20150317_000047	caballero titas	기사 티타스					
QUEST_20150317_000048	Si es así, ve a ver al Comandante de Caballeros Uska en Klaipeda. {nl}Pero primero, tengo un recado importante que me gustaría hacerle, así que síganme.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.				기사 티타스	
QUEST_20150317_000049	Sería bueno si pudiera encontrar un momento para relajarme...	잠시 쉴 틈이 있으면 좋겠군.. 				장교 류다스	
QUEST_20150317_000050	Sparnas... {nl} no es alguien a quien tomar a la ligera...	스파르나스..{nl}만만치 않은 상대..				장교 류다스	
QUEST_20150317_000051	soldado temperamental	병사 무디					
QUEST_20150317_000052	Tratemos con este monstruo antes de hablar.	우선 이 몬스터를 처리하고 이야기하지요.				병사 무디	
QUEST_20150317_000053	Equipo conjunto de investigación - Scott	합동조사단 스캇					
QUEST_20150317_000054	Anhelo un momento en el que nuestro equipo ya no sea necesario... {nl}Qué época tan pacífica sería esa...	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}				합동조사단 스캇	
QUEST_20150317_000055	No sé por dónde empezar. {nl}¿Has oído algo?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?				합동조사단 스캇	
QUEST_20150317_000056	Por orden real, hemos venido a este bosque para investigar algunos sucesos extraños. {nl}Los testigos han informado sobre algo con una cara grande y dedos huesudos. {nl} ¿Qué podría ser eso?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?				합동조사단 스캇	
QUEST_20150317_000057	Antiguamente los peregrinos transitaban por este bosque. {nl}Pero ahora debido a la presencia de monstruos, aquí solo se reúnen soldados.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.				부관 폴리나	
QUEST_20150317_000058	Hasta hace cuatro años, las diosas nos bendecían a menudo con signos de su presencia. {nl}Pero ahora, incluso nuestras oraciones combinadas no provocan ni siquiera un temblor. {nl}¿Realmente nos han abandonado?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?				부관 폴리나	
QUEST_20150317_000059	Vacenin va personalmente a cada región para ocuparse de las cosas. {nl}Se siente incómodo cuando se queda en la ciudad.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.				부관 폴리나	
QUEST_20150317_000060	¿Planeas quedarte o alistarte? {nl}Si estás interesado, con gusto te recomendaré a los comandantes en jefe.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.				부관 폴리나	
QUEST_20150317_000061	No bajes la guardia{nl}. Los monstruos podrían aparecer en cualquier momento y lugar.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.				병사 하이란스	
QUEST_20150317_000062	¿A dónde en el mundo fue la Diosa Zemyna?...	제미나 여신께선 도대체 어디로 가셨는지..				병사 블락	
QUEST_20150317_000063	¿Cómo diablos llamas a esto?	이게 다 도대체 뭐랍니까.				병사 블락	
QUEST_20150317_000064	Creo que Zemyna, la diosa de la tierra, estaría más afligida que nadie.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.				병사 블락	
QUEST_20150317_000065	Los Pokubu siempre han estado aquí, pero a veces también se ven monstruos desconocidos.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.				병사 요크	
QUEST_20150317_000066	Lo he pensado. No hay duda de que las diosas nos han abandonado a todos. {nl}Si no fuera así, entonces no habría tantos monstruos.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.				병사 요크	
QUEST_20150317_000067	Dicen que hay un hombre bendecido con la fuerza de la diosa que vive en el bosque.	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..				병사 요크	
QUEST_20150317_000068	Quiero ir a casa.	고향으로 돌아가고 싶습니다.				병사 무디	
QUEST_20150317_000069	La cantidad de monstruos aquí no parece cambiar sin importar cuántos de ellos matemos.	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.				병사 무디	
QUEST_20150317_000070	¿Julian te despidió, Revelador?	계시자라니, 줄리안이 보낸 거요?					
QUEST_20150317_000071	Estoy asombrado. {nl}Eres la primera persona que conozco aquí en varios años.	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}				오래된 부엉이 조각상	
QUEST_20150317_000072	Te mostraré lo que vi.	제가 본 것을 보여드릴게요.				오래된 부엉이 조각상	
QUEST_20150317_000073	Por favor, olvídate de mí y vete. {nl}Las flores parecen estar creciendo maravillosamente.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.					
QUEST_20150317_000074	lena	레나					
QUEST_20150317_000075	Por favor, cuéntame la historia de tu vida.{nl}Seguimos la voluntad de Vibora y registramos todo lo que hay en este mundo.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.				레나	
QUEST_20150317_000076	henrika	헤느리카					
QUEST_20150317_000077	¡Hola! {nl}Bienvenido a la sucursal de Klaipeda de la Asociación de Magia. {nl}Nos especializamos en estudiar los extraños fenómenos que ocurren cuando se combinan elementos especiales.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.				헤느리카	
QUEST_20150317_000078	Aquí no hay nada que ver excepto vapor y Vubbes. {nl}Espera, ¿qué es esa cosa con la cara grande que se acerca?	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?				합동조사단 프레이	
QUEST_20150317_000079	La tierra también necesita nuestra atención. {nl}El mundo todavía no está arruinado... ¿verdad?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?				합동조사단 유커트	
QUEST_20150317_000080	Si continuamos teniendo cortesía, entonces aún conoceremos el camino de una vida recta. {nl}Todos deberíamos considerar si este desastre es culpa nuestra o no porque confiamos en las diosas para todo.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.				합동조사단 유커트	
QUEST_20150317_000081	Tablón de anuncios	알림판					
QUEST_20150317_000082	¡Bienvenidos a la ciudad minera de Klaipeda!	천혜의 광산도시 클라페다에 오신 것을 환영합니다!				알림판	
QUEST_20150317_000083	viuda indiferente	담담한 미망인					
QUEST_20150317_000084	No estoy segura de entenderlo del todo, pero de lo que sí estoy segura es que las diosas no desaparecieron todas de golpe.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.				담담한 미망인	
QUEST_20150317_000085	La primera en desaparecer fue la Diosa Gabija. {nl}Escuché que fue hace mucho tiempo. {nl}Uno a uno, empezando por Gabija, dejaron de responder.	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}				담담한 미망인	
QUEST_20150317_000086	La diosa Vakarine nos dejó poco antes que Medzio Diena. {nl}Tanto Zemyna como Ausrine desaparecieron poco después. {nl}Ya han pasado cuatro años desde entonces.	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}				담담한 미망인	
QUEST_20150317_000087	Así es. La más extraña de todas fue la Diosa Laima. {nl}Nadie está realmente seguro de cuándo desapareció.	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}					
QUEST_20150317_000088	Además, ¿no es Laima la diosa del destino y la previsión? {nl}Ella probablemente lo sabía todo.	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?					
QUEST_20150317_000089	Soldado en reposo	휴식중인 병사					
QUEST_20150317_000090	Solía ​​ser un aventurero como tú. Luego recibí una flecha en la rodilla...	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}				휴식중인 병사	
QUEST_20150317_000091	No importa. ¡Venid a enfrentarme, monstruos!	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}				휴식중인 병사	
QUEST_20150317_000092	Una diosa apareció en mi sueño hace un momento... {nl}Ella era tan encantadora...	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}				휴식중인 병사	
QUEST_20150317_000093	Aún así, tengo el deber de defender el reino. Por eso estoy aquí.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.				휴식중인 병사	
QUEST_20150317_000094	Uska es una vieja amiga mía.	우스카라면 제 오랜 친구였지요.{nl}				휴식중인 병사	
QUEST_20150317_000095	Hicimos nuestras pruebas para convertirnos en caballeros juntos. Uska llegó a donde está ahora gracias a mi más sincero apoyo. {nl}Oh, fueron unos días locos... Sería bueno verlo de nuevo.	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!				휴식중인 병사	
QUEST_20150317_000096	Simplemente no creas todo lo que dice. {nl}Era conocido por ser todo un fanfarrón en casa.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}					
QUEST_20150317_000097	¿A mí? Me parece gracioso, así que lo dejo en paz.	저요? 그냥 재밌으니까 내버려 두는 거지요.				휴식중인 병사	
QUEST_20150317_000098	Eh, espera. Retiro lo dicho de no creer todo lo que dice.	음.. 너무 믿지 말란 말 취소하지요.{nl}				휴식중인 병사	
QUEST_20150317_000099	Todo lo que sale de su boca es mentira. No confíes en él.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.				휴식중인 병사	
QUEST_20150317_000100	Guardia de Siauliai	샤울레이 경비병					
QUEST_20150317_000101	Hay monstruos más allá de este punto. Ten cuidado.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.				샤울레이 경비병	
QUEST_20150317_000102	Estos bosques no son precisamente pacíficos, pero son mejores que otros lugares. {nl}Hay bosques que no tienen más que almas deambulando.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.				샤울레이 경비병	
QUEST_20150317_000103	Así se llama a las personas que han visto una diosa en sus sueños.	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}				클라페다 주민	
QUEST_20150317_000104	Al principio pensé que las visiones de los Reveladores eran una locura. {nl}Después de todo, las diosas se fueron hace mucho tiempo.	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}				클라페다 주민	
QUEST_20150317_000105	¿No es cierto que las diosas no han respondido a ninguna de nuestras oraciones desde Medzio Diena{nl} hace cuatro años?	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?				클라페다 주민	
QUEST_20150317_000106	Puedes encontrar Class Masters en todo el reino. {nl}¿Por qué no los visitas y aprendes lo que puedas?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?				클라페다 경비병	
QUEST_20150317_000107	¿No conoces Medzio Diena? Debes haber venido de muy lejos. {nl}Hace cuatro años la situación se salió de control en la capital.	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}				클라페다 주민	
QUEST_20150317_000108	Fue un desastre... Hubo muchos muertos y heridos.{nl}Las criaturas que alguna vez fueron pacíficas se volvieron feroces, y muchos monstruos nuevos aparecieron.	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}				클라페다 주민	
QUEST_20150317_000109	Si todavía estás interesado en lo que pasó en Medzio Diena hace cuatro años, {nl} intenta visitar Klaipeda.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.				클라페다 주민	
QUEST_20150317_000110	Centinela de los bosques del este	동쪽 숲 경계병					
QUEST_20150317_000111	¿Te diriges a los bosques del este? {nl}¡No debes! ¡Es demasiado peligroso!	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}				동쪽 숲 경계병	
QUEST_20150317_000112	¡Maldita sea, esas cosas testarudas nos persiguieron hasta aquí!	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!				동쪽 숲 경계병	
QUEST_20150317_000113	Esos gritos... ¡Estamos bajo ataque!	이 비명소리는.. 습격입니다!					
QUEST_20150317_000114	Instrucciones de seguridad	안전 수칙					
QUEST_20150317_000115	1. Sólo podrá ingresar personal autorizado. {nl}2. Siga siempre las indicaciones del supervisor de minería.	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}				안전 수칙	
QUEST_20150317_000116	3. No acercarse a zonas cerradas. {nl}4. Cualquier persona sospechosa debe ser denunciada a los caballeros de Klaipeda.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.				안전 수칙	
QUEST_20150317_000117	Soldado de la base de suministros	보급기지 병사					
QUEST_20150317_000118	Nunca antes había estado en una pelea real, así que estoy un poco nervioso.	실전에 익숙하지 않아 긴장됩니다.				보급기지 병사	
QUEST_20150317_000119	Centinela de la granja	농장 경계병					
QUEST_20150317_000120	Mi colega está en medio de una batalla en el Pueblo Minero. {nl} He pensado en ir a ayudar, pero Eastern Woods también está en problemas, así que lo único que puedo hacer es preocuparme.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.				농장 경계병	
QUEST_20150317_000121	Creo que esta misión me ha mostrado suficientes monstruos para toda la vida. {nl} Solían ser solo grupos de Vubbes.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.				농장 경계병	
QUEST_20150317_000122	Los chupacabras son aficionados a los arroyos y la exuberante vegetación de la zona norte.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.					
QUEST_20150317_000123	Capitán de la Guardia de Klaipeda	클라페다 경비병 대장					
QUEST_20150317_000124	Tú eres...	당신이 바로..				클라페다 경비병 대장	
QUEST_20150317_000125	Parece que desde aquí se puede ver el bosque superior. {nl}TIntenta no meterte en problemas.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.					
QUEST_20150317_000126	No tienes el objeto de misión requerido. ¿Estás seguro de que quieres continuar?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?				QuestModify	
QUEST_20150317_000127	Chica de Kláipeda	클라페다 소녀					
QUEST_20150317_000128	Mi vecino solía ser un cazador de monstruos. {nl}Sin embargo, ahora está retirado. Se ha vuelto extremadamente peligroso.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.				클라페다 소녀	
QUEST_20150317_000129	Sería bueno si el hecho de que todos estos Reveladores estuvieran aquí significara que las diosas han regresado.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.					
QUEST_20150317_000130	Puede que sea una tontería esperar el regreso de la diosa, pero es mejor que nada.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.				클라페다 경비병	
QUEST_20150317_000131	Dama de Kláipeda	클라페다 귀부인					
QUEST_20150317_000132	Todavía podemos crecer de la tierra y tener un hogar cálido en nuestros hogares para descansar. {nl}I siempre creeré que las diosas están en algún lugar del mundo.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.				클라페다 귀부인	
QUEST_20150317_000133	Ser fiel. {nl}Las diosas aún pueden enviarnos un Salvador.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.				클라페다 귀부인	
QUEST_20150317_000134	Maestro hoplita	하플라이트 마스터					
QUEST_20150317_000135	Si la espada es un símbolo de poder, entonces la lanza es el de pura destrucción. {nl}Poder o destrucción: ¿qué buscarías en el campo de batalla?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?				하플라이트 서브 마스터	
QUEST_20150317_000136	Trabajador de la máquina	기계 제작 장인					
QUEST_20150317_000137	Incluso con el mundo tan caótico como es, no podemos dejar de trabajar. {nl} Han pasado cuatro años. ¿No es hora de hacer las paces con el pasado y empezar de nuevo?	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?				기계 제작 장인	
QUEST_20150317_000138	Klaipeda es una ciudad que vive de la minería. {nl}Con Medzio Diena deberíamos trabajar en plantar árboles o talarlos.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.				기계 제작 장인	
QUEST_20150317_000139	Mi viejo hacía esto de revisar las esquinas en busca de algo bueno. {nl}A veces tenía suerte y encontraba un bonito cofre del tesoro. Me pregunto quién los deja ahí.	아저씨가 그러셨는데요, 할 수만 있다면 구석구석을 잘 살피는 게 좋대요.{nl}가끔 운이 좋으면 보물상자를 발견할 수도 있다네요. 누가 갖다 놨을까?				클라페다 소녀	
QUEST_20150317_000140	Cazador retirado	은퇴한 사냥꾼					
QUEST_20150317_000141	Recuerdo esta batalla en un profundo cañón donde los soldados lucharon contra un enorme monstruo. {nl}Ver caer al gigante fue increíble, pero lo que fue más sorprendente fue el botín.	일전에 깊은 협곡에서 병사들이 거대한 몬스터와 싸우는 걸 봤소.{nl}그 엄청난 몬스터를 쓰러뜨린 것도 대단하지만 전리품이 어마어마하더군.				은퇴한 사냥꾼	
QUEST_20150317_000142	viejo alfarero	도자기 빚는 노인					
