INTL_20160419_000011	Usar para obtener 455 TP.	사용 시 455 TP를 획득합니다.				
INTL_20160419_000012	Usar para obtener 266 TP.	사용 시 266 TP를 획득합니다.				
INTL_20160419_000013	Usar para obtener 112 TP.	사용 시 112 TP를 획득합니다.				
INTL_20160419_000014	Haz clic derecho para obtener los siguientes objetos:{nl} - 455 TP{nl} - Token (60 Días){nl} - Accesorio para el Cabello - Muñeco Popolion{nl} - Accesorio para el Cabello - Muñeco Hanaming{nl} - Vale de Compañero Hoglan{nl} - Poción de Reinicio de Estadísticas{nl} - Poción de Reinicio de Habilidades{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	ETC_20160320_021185	Haz clic derecho para obtener los siguientes objetos:{nl} - 650 TP{nl} - Token (60 Días){nl} - Accesorio para el Cabello - Muñeco Popolion{nl} - Accesorio para el Cabello - Muñeco Hanaming{nl} - Vale de Compañero Hoglan{nl} - Poción de Reinicio de Estadísticas{nl} - Poción de Reinicio de Habilidades{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	
INTL_20160419_000015	Haz clic derecho para obtener los siguientes objetos:{nl} - 266 TP{nl} - Token (30 Días){nl} - Accesorio para el Cabello - Muñeco Popolion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	ETC_20160320_021189	Haz clic derecho para obtener los siguientes objetos:{nl} - 380 TP{nl} - Token (60 Días){nl} - Accesorio para el Cabello - Muñeco Popolion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	
INTL_20160425_000016	Aplica beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +20% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160326_000005	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160425_000017	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	ETC_20160320_021192	Otorga beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160425_000018	Aplica beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	ETC_20160320_021194	Otorga beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160426_000019	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160425_000016	Aplica beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +20% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160426_000020	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	INTL_20160425_000017	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160426_000021	Otorga beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender hasta 2 atributos simultáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en la velocidad de movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl}(Se acumula con el efecto del Tomo de EXP){nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	INTL_20160425_000018	Aplica beneficios de Token a todos tus personajes en el servidor durante 60 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 5 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 60 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160512_000022	Usar para obtener los siguientes objetos:{nl} - 190 TP{nl} - Token: 15 Días{nl} - 20x Poción de HP y SP Altamente Condensada{nl} - 15x Cristal de Alma{nl} - 15x Megáfono{nl} - 15x Pergamino de Teletransporte{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}				
INTL_20160512_000023	Usar para obtener 190 TP.	사용 시 190 TP를 획득합니다.				
INTL_20160512_000024	Usar para obtener los siguientes objetos:{nl} - Token: 30 Días{nl} - 4x Pergamino de Encantamiento{nl} - 5x Vale de Reinicio de Mazmorra de Instancia{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}				
INTL_20160728_000025	Aplica beneficios de Token a todos tus personajes en el servidor durante 30 días. Haz clic derecho para usar.{nl}[Beneficios del Token]{nl} - Puedes aprender atributos instantáneamente{nl} - Tarifa de comisión del Mercado reducida (30% {img white_right_arrow 16 16} 10%){nl} - Puedes listar hasta 10 objetos en el Mercado{nl} - +3 de aumento en el movimiento del personaje{nl} - +30% de EXP al cazar monstruos{nl} - Puedes usar Gestos Premium{nl} - Aumento del conteo máximo de buffs{nl} - Puedes usar Comercio Personal hasta 30 veces{nl} - 1 entrada extra de instancia para misiones y mazmorras	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장				
