QUEST_LV_0200_20150317_000001	Soldado de Felipe
QUEST_LV_0200_20150317_000038	Si solo son monstruos de ese nivel, supongo que puedo informar que no hay ningún problema grave.{nl}Oh, si por casualidad te encuentras con Samson, por favor dile que deje de hacer tonterías y continúe explorando.
QUEST_LV_0200_20150317_000039	Protegeré esta zona, así que vayan a patrullar el cruce de Veltui.{nl}En cuanto a los informes, los haré por separado más adelante.
QUEST_LV_0200_20150317_000040	Soldado Sansón
QUEST_LV_0200_20150317_000041	¿Podrías ayudarme a encontrar el anillo de compromiso de Dominic? {nl} Actualmente estoy en una misión, así que no podré salir de aquí.
QUEST_LV_0200_20150317_000042	Te digo que se comporta así aunque le compré uno prácticamente igual. ¡Qué tacaño!
QUEST_LV_0200_20150317_000043	¿Qué es esta cosa tan fea? Oh, ¿podría estar el anillo dentro?
QUEST_LV_0200_20150317_000044	Un cuchillo no cabe dentro, y no hay otra forma de sacarlo{nl}. ¡Bien! ¿No podemos quemarlo para recuperar lo que hay dentro?
QUEST_LV_0200_20150317_000045	Asegúrate de traerme unas que no sean demasiado gruesas.
QUEST_LV_0200_20150317_000046	Esto debería estar perfecto.{nl}Bien. Ahora, ¿cómo puedo quemar esto mientras trabajo sin que me pillen?
QUEST_LV_0200_20150317_000047	Debería haber mucho Bosque de Espinos Secos en el borde del Acantilado de Ishisineti. {nl} Estoy de patrulla y no tengo tiempo, así que te lo pido de nuevo.
QUEST_LV_0200_20150317_000048	Ah, deberías poder quemarlo en secreto en la cima del acantilado de Ishisineti. {nl} Esta es mi última petición. Solo necesitas hacer los preparativos para el fuego.
QUEST_LV_0200_20150317_000049	Jamás volveré a preocuparme por la ceremonia de boda de otra persona.
QUEST_LV_0200_20150317_000050	Diré que tengo que ir al baño y quemarlo allí en secreto.{nl}Muchas gracias.
QUEST_LV_0200_20150317_000051	Soldado Pollo
QUEST_LV_0200_20150317_000052	¡Dios mío, la orden dice que elimine a todos los monstruos de esta zona! ¿Cómo se supone que voy a lidiar con tantos enemigos yo solo?{nl}
QUEST_LV_0200_20150317_000053	Era demasiado abrumador realizar la tarea yo solo{nl}. Sin embargo, soy muy afortunado de que hayas decidido ayudarme.
QUEST_LV_0200_20150317_000054	¡Casi lloro a mares! {nl}Muchas gracias por su ayuda.
QUEST_LV_0200_20150317_000055	Comandante Julian
QUEST_LV_0200_20150317_000056	¡Gracias por la ayuda! {nl} Si no te importa, me gustaría contar con un poco más de tu fuerza.{nl}
QUEST_LV_0200_20150317_000057	¿No apoyarás a la unidad del comandante O'Rourke en el cruce de caminos de Veltui?
QUEST_LV_0200_20150317_000058	Comandante O'Rourke
QUEST_LV_0200_20150317_000059	Muy impresionante{nl}. Parece que tendré que invitar a Julian a una copa.
QUEST_LV_0200_20150317_000060	Se me ocurrió mientras veía Ironbaum. {nl} Qué compañero excepcional podría ser.
QUEST_LV_0200_20150317_000061	La unidad de O'Rourke ha sido agotada por grandes y pequeñas batallas con Ironbaum.{nl}Sería muy tranquilizador si pudieras convertirte en nuestra fuerza.
QUEST_LV_0200_20150317_000062	Escultura de búho sustituto
QUEST_LV_0200_20150317_000063	Quiero ayudar a purificar el bosque espinoso, pero no soy lo suficientemente fuerte. ¿Podrías eliminar a los ghouls arbóreos que molestan a los soldados?
QUEST_LV_0200_20150317_000064	Sería bueno que más gente pudiera ir y venir por esta carretera como antes.{nl}Encuentro a la gente muy interesante.
QUEST_LV_0200_20150317_000065	Gracias. Espero no estar causándoles molestias innecesarias por culpa de mis aspiraciones.
QUEST_LV_0200_20150317_000066	De acuerdo. No hemos recibido ninguna noticia de nuestras fuerzas en la autopista Niurus.{nl}Le pido que las encuentre.
QUEST_LV_0200_20150317_000067	Si no los encuentra, vuelva a contactarnos.
QUEST_LV_0200_20150317_000068	Callo de soldado
QUEST_LV_0200_20150317_000069	Todavía quedan algunos de nuestros colegas más adentro.{nl}Por favor, ayúdennos.
QUEST_LV_0200_20150317_000070	Soldado Dainus
QUEST_LV_0200_20150317_000071	Ironbaum nos atacó en Drieza Waterland.{nl}Aún quedan soldados que no han escapado.{nl}
QUEST_LV_0200_20150317_000072	Me da vergüenza haber escapado sola.{nl}
QUEST_LV_0200_20150317_000073	Escultura de búho posado
QUEST_LV_0200_20150317_000074	Tengo algo que pedirte{nl}. Me preocupan los soldados que están siendo heridos por las larvas de Ravinelarvae.
QUEST_LV_0200_20150317_000075	Gracias{nl}. ¿Podrán nuestros soldados trabajar cómodamente a partir de ahora?
QUEST_LV_0200_20150317_000076	Agradezco tu amable ayuda{nl}. Algún día te devolveré este favor cuando conozca tu forma de alma.
QUEST_LV_0200_20150317_000077	¿Eres el famoso Revelador? {nl}Bien, estoy desconcertado por algo. Necesito tu ayuda.
QUEST_LV_0200_20150317_000078	Ah, ahora he recibido la orden.{nl}Regresar con el comandante Julian.
QUEST_LV_0200_20150317_000079	Estoy recopilando información sobre Ironbaum.{nl}Para llegar a la Puerta del Gran Rey, primero tenemos que derrotar a este monstruo.
QUEST_LV_0200_20150317_000080	Gracias.{nl}Vuelva después de llevar este pedido a Poulter en Zaizda Hill.
QUEST_LV_0200_20150317_000081	Devuélveme los buenos viejos tiempos.{nl} Cuando no había espinas.
QUEST_LV_0200_20150317_000082	Si el camino a la Puerta del Gran Rey es seguro, entonces podré ver a más gente.{nl}
QUEST_LV_0200_20150317_000083	Durante todo este tiempo, lo he visto todo{nl}. Ahora, solo quiero que se vea la alegría.
QUEST_LV_0200_20150317_000084	¿Por qué las almas humanas contienen tantas cosas?
QUEST_LV_0200_20150317_000085	Si nos topamos con monstruos, no nos quedará más remedio que luchar.
QUEST_LV_0200_20150317_000086	Estamos trabajando para llegar a la Puerta del Gran Rey{nl}. ¿Has oído las noticias sobre Ironbaum?
QUEST_LV_0200_20150317_000087	Para ser un líder de grupo, necesitas principios inquebrantables.
QUEST_LV_0200_20150317_000088	Es cierto que intentar llegar a la Puerta del Gran Rey es una imprudencia{nl}. Sin embargo, no podemos desobedecer la orden.
QUEST_LV_0200_20150317_000089	Puede que al principio parezca algo negativo, pero los dos comandantes tienen una relación sorprendentemente buena.
QUEST_LV_0200_20150317_000090	Me siento tan solo ya que no hay nadie aquí.{nl}Hace mucho tiempo que no conozco caras nuevas.
QUEST_LV_0200_20150317_000091	¿Qué quieres hacer aquí en este bosque vacío? ¿De ninguna manera? ¿El camino está disponible?
QUEST_LV_0200_20150317_000092	Gracias.{nl}Ahora los soldados y mis colegas podrán dormir cómodamente.
QUEST_LV_0200_20150317_000093	No siento los brazos ni las piernas{nl}. Me siento muy extraña aunque no hace frío.
QUEST_LV_0200_20150317_000094	Debemos derrotar a Gaigalas.{nl}De lo contrario, no podré dormir en paz.
QUEST_LV_0200_20150317_000095	Pronto comenzaremos la búsqueda de Gaigalas.{nl}Estoy muy emocionado.
QUEST_LV_0200_20150317_000096	Este rencor es tan triste.{nl}Es triste que tampoco podamos detenerlo.
QUEST_LV_0200_20150317_000097	Las pérdidas continuarán a menos que alguien detenga a los demonios.
QUEST_LV_0200_20150317_000098	Miembro de la Unidad Conjunta de Investigación Frey
QUEST_LV_0200_20150317_000099	Soy Frey.{nl}Escuchando la historia, la situación suena mal.{nl}Si la información que tú y Scott investigaron es correcta.
QUEST_LV_0200_20150317_000100	{nl}Entonces, tendré que hacer algo.{nl}Por favor, derrota primero a algunos Red Vubbes. Me han estado molestando últimamente.
QUEST_LV_0200_20150317_000101	Por favor, te lo pido...{nl}Me enfermo solo con mirar el color rojo.
QUEST_LV_0200_20150317_000102	Oh, ¿de verdad los derrotaste por mí? ¡Gracias!{nl}
QUEST_LV_0200_20150317_000103	Conseguí algo después de hablar con Scott.{nl}Algo parecido a una escultura de árbol de Woodsman en movimiento.{nl}¿Está relacionado de alguna manera con la corteza de un árbol que consiguieron los Vubbes?
QUEST_LV_0200_20150317_000104	Por cierto, todavía no hay noticias de Scott sobre un segundo informe{nl}. Me pregunto qué habrá sido de él. Hmm...
QUEST_LV_0200_20150317_000105	¡Guau, genial! Te debo una{nl}. ¡Gracias!
QUEST_LV_0200_20150317_000106	¿Verdad? Entonces te lo preguntaré.{nl}Los leñadores están apareciendo en el sitio Deer Hoot junto con el lado izquierdo del camino.
QUEST_LV_0200_20150317_000107	Llevaré este resultado combinado de la información que Scott me dio y este fragmento a mi superior. {nl}Por cierto, todavía no hay noticias de Scott. Incluso el plazo que prometió ya pasó hace mucho. ¿Acaso el otro investigador no se conforma con los rumores?{nl}
QUEST_LV_0200_20150317_000108	¿Podrías recoger el informe de Scott? ¡No olvides regañarlo por faltar al trabajo!{nl}
QUEST_LV_0200_20150317_000109	Por favor, encárgate del informe de Scott. ¿De acuerdo?{nl}A veces es tonto, pero también es lindo.
QUEST_LV_0200_20150317_000110	No tengo rostro. Hoy en día, he estado investigando por todas partes para encontrar algo...{nl}Muchas gracias. Si no lo eres...{nl}Ah, no quiero pensar en ello.{nl}
QUEST_LV_0200_20150317_000111	Vaya, no hay tiempo para esto{nl}. Lo siento, por favor, dáselo a Frey en vez de a mí{nl}. No sé por dónde empezar a limpiar el desastre que hizo Vubbes.
QUEST_LV_0200_20150317_000112	¡Ah, es el informe! {nl}Bien, ¿y qué estaba haciendo Scott?{nl}
QUEST_LV_0200_20150317_000113	¿En serio? No pudo con un solo Vubbe y en vez de eso se metió en problemas{nl}. ¡Qué lástima! ¡Lo regañaré después!
QUEST_LV_0200_20150317_000114	Todo es un desastre{nl}. No puedo concentrarme como los Vubbes{nl}. Debe reírse si lo mira.
QUEST_LV_0200_20150317_000115	Miembro de la Unidad Conjunta de Investigación Frey
QUEST_LV_0200_20150317_000116	Aún se está trabajando para descubrir la verdad sobre los hechos{nl}. Tómalo{nl}. Es un pergamino de recolección de almas.
QUEST_LV_0200_20150317_000117	Una vez que derrotes al Vubbe Rojo usando este pergamino, ¿debería salir el alma de Vubbe? {nl}Haré que la recojas por mí. Entonces, los datos estarán casi listos.
QUEST_LV_0200_20150317_000118	No olvides el orden{nl}. Tienes que derrotar a los Red Vubbes después de usar el pergamino de recolección de almas en ellos. ¿De acuerdo?
QUEST_LV_0200_20150317_000119	Sobre la corteza de un árbol que consiguió Vubbe.{nl}Creo que puedo combinarla usando algo parecido a un espíritu..{nl}Bueno, por favor, cuéntale esta noticia a Ukirt.
QUEST_LV_0200_20150317_000120	Ukirt, miembro de la Unidad Conjunta de Investigación
QUEST_LV_0200_20150317_000121	Scott y Frey hicieron un buen trabajo{nl}. ¿Qué opinas? No creo que Vubbe no pueda crearse a sí mismo{nl}. Tendré que comprobar qué hacen con esto.{nl}
QUEST_LV_0200_20150317_000122	Puede que haya algo dentro de las cajas de suministros que los soldados dejaron hace mucho tiempo{nl}. Encontrarás algunas cajas de suministros antiguas allí arriba{nl}. ¿Puedes ir a revisar? Si obtenemos algunas pistas, tal vez encontremos una respuesta.
QUEST_LV_0200_20150317_000123	Si regresas por donde viniste, verás una torre de observación en las colinas{nl}. Espero que los monstruos aún no la hayan tocado.
QUEST_LV_0200_20150317_000124	¿De verdad están tramando algo? Algo... es sospechoso...{nl}
QUEST_LV_0200_20150317_000125	¿Los Vubbes rompieron las cajas de suministros y se llevaron esto? ¿Por qué? ¿De verdad lo estaban fabricando? ¡Imposible! No son lo suficientemente listos para hacer eso.{nl}{nl}{nl}
QUEST_LV_0200_20150317_000126	¡Bien! ¡Debemos prestar atención y resolver el problema!
QUEST_LV_0200_20150317_000127	De acuerdo{nl}. ¿Estás listo?
QUEST_LV_0200_20150317_000128	Antes de que llegaras, vi a los Vubbes moviéndose en grupos.{nl}Ve a los acantilados de Gebene y observa cómo está la situación.
QUEST_LV_0200_20150317_000129	Los Vubbes siempre estuvieron involucrados en todo lo que sucedió aquí{nl}. No puede ser solo una coincidencia.
QUEST_LV_0200_20150317_000130	Creo que... ahora lo entiendo{nl}. Creo que era como una gran fábrica que creaba enormes monstruos llamados Espíritus del Bosque.{nl}
QUEST_LV_0200_20150317_000131	La bandera de Vubbes debió haber invocado a los fantasmas{nl}. Luego contaminaron los árboles y crearon enormes monstruos.{nl}
QUEST_LV_0200_20150317_000132	Esa corteza de árbol debió ser el ingrediente para hacer Woodspirits.{nl}¡No hay manera de que esos Vubbes pudieran hacerlo solos!{nl}¡Deben haber recibido una orden de alguien!
QUEST_LV_0200_20150317_000133	Es posible que encontremos alguna evidencia decisiva en el lugar donde se agrupan los Vubbes.{nl}¡Si Prey ve esto, le gustará!
QUEST_LV_0200_20150317_000134	Los Vubbes no son muy listos, así que seguramente solo les dio órdenes sencillas{nl}. ¿Cómo pudo pensar en controlar a esos Vubbes? No sé qué decir.{nl}{nl}
QUEST_LV_0200_20150317_000135	Estoy seguro de que los espíritus del bosque se crean en diversos lugares{nl}. Puedo sentir energías malignas que se acercan{nl}. ¡Primero debemos destruir las banderas que están creando espíritus del bosque!
QUEST_LV_0200_20150317_000136	Vete en cuanto estés listo. {nl}Lo mejor por ahora es detener la creación de espíritus del bosque.
QUEST_LV_0200_20150317_000137	Creo que hemos hecho lo mejor que pudimos por ahora. {nl}Ya que no podemos hacer nada con respecto a los que ya fueron creados.
QUEST_LV_0200_20150317_000138	Puedo sentir que la bandera más cercana desde aquí está cerca de la autopista Gatves.{nl}Los enormes árboles que la gente vio son probablemente Woodspirits.{nl}¿Cómo pude pasar por alto esta cosa tan simple?
QUEST_LV_0200_20150317_000139	Escultura del jefe búho Earnest
QUEST_LV_0200_20150317_000140	Muchísimas gracias. {nl}Los demás búhos deben haber ganado confianza gracias a ti.
QUEST_LV_0200_20150317_000141	Escultura de búho débil
QUEST_LV_0200_20150317_000142	Realmente era demasiado tarde..{nl}La diosa a veces puede ser muy dura..
QUEST_LV_0200_20150317_000143	Tengo una última petición. {nl}¿Puedes quemar a los búhos para que puedan descansar en paz?
QUEST_LV_0200_20150317_000144	¿Crees que mis aliados podrán llegar hasta la diosa Ausrine sanos y salvos?
QUEST_LV_0200_20150317_000145	Muchas gracias. {nl}Primero tráeme el petróleo de las cajas de petróleo en el camino al campo Neuoder.
QUEST_LV_0200_20150317_000146	Si no te importa, me gustaría contar con tu ayuda{nl}. He enviado un mensajero, pero debido al último ataque, ahora estoy preocupado por él.{nl}
QUEST_LV_0200_20150317_000147	Ese mensajero debería estar a salvo... pero aún me preocupa.
QUEST_LV_0200_20150317_000148	Muchas gracias.{nl}Ya debe estar allí.
QUEST_LV_0200_20150317_000149	El escuadrón fue enviado para recuperar el Bosque de Kateen de los monstruos{nl}. La entrada al Bosque de Kateen es segura en comparación con otras áreas{nl}. Las demás áreas aún no han sido recuperadas.
QUEST_LV_0200_20150317_000150	A medida que te adentras más, encontrarás a varios soldados con escasez de suministros{nl}. Si una persona conocida como tú puede ayudarlos, será de gran ayuda.{nl}
QUEST_LV_0200_20150317_000151	Mensajero caído
QUEST_LV_0200_20150317_000152	Es culpa mía por suponer que la entrada al bosque de Kateen era segura{nl}. Volveré al campamento después de un breve descanso.
QUEST_LV_0200_20150317_000153	Ah, esta es mi bolsa... gracias por salvarme.{nl}
QUEST_LV_0200_20150317_000154	Solo tú puedes ayudarme ahora mismo{nl}. ¿Puedes decirle a Félix que la operación en el cruce de Peledos ya ha comenzado?{nl}{nl}
QUEST_LV_0200_20150317_000155	Hay muchas cosas extrañas que no se pueden ver en otros bosques que no sean el Bosque de Kateen.{nl}Como las esculturas de búhos de madera.
QUEST_LV_0200_20150317_000156	¿La operación? ¡Oh, qué mensajero tan ignorante! Puedo obtener esa información del campamento..{nl}. Gracias de todos modos.{nl}
QUEST_LV_0200_20150317_000157	Oh, el camino de vuelta está oscuro, así que le agradeceríamos que volviera a encender la hoguera.
QUEST_LV_0200_20150317_000158	No se ve mucha luz solar en el bosque de Kateen debido a la enorme cantidad de árboles{nl}. Parece que los fantasmas podrían aparecer en cualquier momento.
QUEST_LV_0200_20150317_000159	Bien, ¿entonces el mensajero está a salvo?{nl}Este lugar ha sido bien cuidado gracias a sus esfuerzos.
QUEST_LV_0200_20150317_000160	Voy a descansar un poco aquí{nl}. ¿Hay algún buen sitio para esconderse?
QUEST_LV_0200_20150317_000161	Por haber permitido que Saltister entrara tan lejos tras nuestras líneas, debería reprender a la persona encargada de vigilar este lugar{nl}. De todas formas, gracias{nl}. Sin duda haces honor a tu reputación.
QUEST_LV_0200_20150317_000162	Guardia Lyle
QUEST_LV_0200_20150317_000163	Perdí a muchos colegas a través de la Escarcha Petrificante.{nl}No entiendo por qué estoy aquí para apoyar a un Cronomante novato... tan ineficiente.{nl}Además de eso, no sabemos cuándo atacarán aquí esos monstruos violentos.
QUEST_LV_0200_20150317_000164	Si estás bien, ¿puedes deshacerte de los monstruos mientras nosotros protegemos aquí?
QUEST_LV_0200_20150317_000165	Es muy lamentable que tengamos que cuidar de esa mujer en esta ocasión.
QUEST_LV_0200_20150317_000166	Gracias. Aquí podemos estar a salvo durante un tiempo.
QUEST_LV_0200_20150317_000167	Hace unas semanas, nuestros camaradas fueron atacados mientras dormían por la Escarcha Petrificante.{nl}Después de que el mundo se volviera así, no hemos recibido mucho apoyo y tenemos que esperar aquí.{nl}Los monstruos están atacando a las víctimas petrificadas en este momento. ¡Que la maldición caiga sobre esos monstruos!
QUEST_LV_0200_20150317_000168	Si hay compañeros por ahí que aún permanecen petrificados, ¿podrías quedarte cerca de ellos y protegerlos durante un tiempo?
QUEST_LV_0200_20150317_000169	Mi viejo amigo Galen es una de las víctimas{nl}. Por favor, protéjanlo.
QUEST_LV_0200_20150317_000170	Muchísimas gracias. Espero que los refuerzos lleguen pronto para que pueda regresar con su familia, aunque esté aterrorizado.
QUEST_LV_0200_20150317_000171	En la calle Ruklys hay muchos documentos malditos y objetos sin limpiar{nl}. También hay muchos ladrones que los buscan{nl}. Y entre ellos, los ladrones de Dico atacan frecuentemente a los guardias.
QUEST_LV_0200_20150317_000172	¿Puedes derrotarlos en el distrito militar?{nl}Si pudieras derrotarlos, iríamos a capturarlos.
QUEST_LV_0200_20150317_000173	El que fue capturado la última vez nos dijo que las estatuas de piedra le hablaban{nl}. ¿Crees que eso tiene sentido?
QUEST_LV_0200_20150317_000174	Gracias a tu ayuda pude arrestar a muchos ladrones.{nl}Gracias.
QUEST_LV_0200_20150317_000175	Guardia Nomabis
QUEST_LV_0200_20150317_000176	Hace unos días, perdimos nuestros suministros a manos de los Ladrones de Dico{nl}. Deben haberlos llevado a las Ruinas de la Capilla de Drasos, pero como no puedo salir de este lugar, supongo que todos vamos a morir.
QUEST_LV_0200_20150317_000177	¿Puedes recuperar los suministros perdidos?
QUEST_LV_0200_20150317_000178	Hace algunas décadas, los ladrones atacaron el campamento de la guardia y robaron los suministros en secreto.
QUEST_LV_0200_20150317_000179	Nos atrajeron hacia ellos y robaron los objetos por detrás, así que no había forma de que pudiéramos impedir que robaran{nl}. Querían llevarse los objetos legalmente, así que los enviaron a la horca.
QUEST_LV_0200_20150317_000180	El número de ladrones de Dico está creciendo{nl}. Son muy parecidos a los monstruos{nl}. No sé si entrenan a esos monstruos o si hay algo que aún desconozco{nl}. Oí que los Caballeros de Kaliss fueron atacados por ellos. Tal vez estén tras Sabina. Ella solo lleva cosas caras.
QUEST_LV_0200_20150317_000181	Para evitar cualquier tipo de peligro, primero debemos atacar antes de que se muevan.{nl}Ve a las Ruinas de la Capilla de Drasos y derrótalos.
QUEST_LV_0200_20150317_000182	La ciudad que se derrumbó hace cientos de años no tiene bienes ni vidas que proteger{nl}. Más bien se siente como proteger ruinas. También hay ladrones.
QUEST_LV_0200_20150317_000183	Les diste una lección. Bien hecho.
QUEST_LV_0200_20150317_000184	Hace unas semanas, los compañeros que solían trabajar aquí sufrieron daños por la Escarcha Petrificante y se convirtieron en estatuas de piedra en la plaza. {nl}La razón por la que los compañeros sufrieron daños fue porque estaban ocupados desactivando trampas que habían colocado los ladrones, pero no pudieron evitarlas.{nl}Todavía hay muchas trampas por aquí. Recientemente encontramos una de ellas. ¿Puedes deshacerte de ella?
QUEST_LV_0200_20150317_000185	Es posible que el número de ladrones de Dico sea mayor que el número de guardias.
QUEST_LV_0200_20150317_000186	Capturaste monstruos fuera de la zona de los ladrones. Lamento que hayas tenido que realizar un trabajo tan peligroso.
QUEST_LV_0200_20150317_000187	La cronomante Sabina
QUEST_LV_0200_20150317_000188	Muchas cosas pasaron aquí, pero como ocurrieron hace mucho tiempo, necesitamos más información para descubrir la verdad.{nl}¿Puedes encontrar los registros de la Ruta de la Puerta que se derrumbó y hacer copias de ellos?
QUEST_LV_0200_20150317_000189	Todo se está destruyendo con el paso del tiempo.
QUEST_LV_0200_20150317_000190	Gracias{nl}. Esto trata sobre el colapso de la fortaleza. Debería investigar más para encontrar información más concluyente.
QUEST_LV_0200_20150317_000191	Estoy realizando muchas investigaciones aquí, pero me está costando mucho descubrir un incidente que ocurrió hace más tiempo debido a esos monstruos{nl}. ¿Puedes ir a investigar el pasado por mí?
QUEST_LV_0200_20150317_000192	Utiliza la lupa del tiempo cerca de la autopista Pergale. Deberías poder ver el pasado.
QUEST_LV_0200_20150317_000193	Úselo con sumo cuidado. Es el único que queda.
QUEST_LV_0200_20150317_000194	¿Qué demonios pasó? No digas nada de lo que viste aquí afuera.
QUEST_LV_0200_20150317_000195	Para entender mejor las circunstancias, no tenemos más remedio que ir a la Fortaleza de la Tierra, que es el cuartel general de Ruklys{nl}. Pero no podemos entrar porque los guardias del Ejército Real están limitando el acceso{nl}. Sin embargo, tengo una buena solución...
QUEST_LV_0200_20150317_000196	El portal que usaron los supervivientes cuando intentaron escapar de la Fortaleza de la Tierra{nl}. Según los registros, hay un total de diez{nl}. Cuatro de ellos están aquí. ¿Puedes comprobar si siguen activados?
QUEST_LV_0200_20150317_000197	Debido a nuestro plan, podríamos ser enviados a la horca.{nl}Por favor, manténlo en secreto.
QUEST_LV_0200_20150317_000198	El portal del distrito militar es nuestra única esperanza.
QUEST_LV_0200_20150317_000199	Talus cazador
QUEST_LV_0200_20150317_000200	Estoy buscando algunos artefactos de Lydia Schaffen, quien construyó la Torre Astral.{nl}La famosa arquera que clavó una flecha en el pecho de Ruklys.
QUEST_LV_0200_20150317_000201	Guardia Real del Ejército Retia
QUEST_LV_0200_20150317_000202	Debido a la Escarcha Petrificante que se creó a raíz de la rebelión de Ruklys hace unos cientos de años, la tierra se convirtió en un páramo.
QUEST_LV_0200_20150317_000203	Les permitiremos entrar, ya que los Caballeros de Kaliss nos lo solicitaron, pero por favor, permanezcan donde nuestra mirada se posa.
QUEST_LV_0200_20150317_000204	Después de Medzio Diena hace cuatro años, Benas fue nombrado comandante en jefe de las fuerzas aquí. {nl}Ordenó que se cuidara bien el camino que lleva a la Fortaleza de la Tierra.
QUEST_LV_0200_20150317_000205	Si no tienes prisa, por favor derrota a los monstruos en el área A.{nl}Ese será el primer paso para que contribuyas a la diosa y al reino..{nl}Por supuesto, te prometo suficientes recompensas.
QUEST_LV_0200_20150317_000206	El comandante rebelde Ruklys y los ciudadanos de aquí se entregaron a una conducta malvada a pesar de las recomendaciones del gran comerciante, el Primer Ministro Eminente{nl}. El resultado es este lugar.
QUEST_LV_0200_20150317_000207	No está mal. Quizás los guardias puedan usarlo.
QUEST_LV_0200_20150317_000208	Después de Medzio Diena, las heladas petrificantes ocurren de forma irregular.{nl}Debido a las heladas petrificantes irregulares, perdimos a muchos de nuestros soldados en este páramo.{nl}Y colocamos los dispositivos de petrificación de forma limitada aquí en la plaza del lamento y comprobamos la frecuencia de las heladas y movemos a los soldados en consecuencia.
QUEST_LV_0200_20150317_000209	Comprueba los dispositivos de petrificación si quieres ser leal al Reino y recibir su determinación.
QUEST_LV_0200_20150317_000210	Hay monstruos que intentan atacar a los soldados que dan mantenimiento a los dispositivos. Tengan cuidado.
QUEST_LV_0200_20150317_000211	La Escarcha Petrificante debe ser expulsada de los dos lugares.{nl}He oído que eres un Revelador bastante famoso. {nl}¿No es así?
